Player,Team,Position,Height,Weight,PPG,RPG,APG,SPG,BPG,Headshot_URL
Jarred Vanderbilt,Los Angeles Lakers,F,6-8,214,4.1,5.1,1.1,1.0,0.3,https://cdn.nba.com/headshots/nba/latest/1040x760/1629020.png
Dalton Knecht,Los Angeles Lakers,F,6-6,215,9.1,2.8,0.8,0.3,0.1,https://cdn.nba.com/headshots/nba/latest/1040x760/1642261.png
Gabe Vincent,Los Angeles Lakers,G,6-2,200,6.4,1.3,1.4,0.7,0.2,https://cdn.nba.com/headshots/nba/latest/1040x760/1629216.png
Bronny James,Los Angeles Lakers,G,6-3,210,2.3,0.7,0.8,0.3,0.1,https://cdn.nba.com/headshots/nba/latest/1040x760/1642355.png
Christian Koloko,Los Angeles Lakers,C,7-0,225,2.4,2.5,0.4,0.2,0.4,https://cdn.nba.com/headshots/nba/latest/1040x760/1631132.png
Jaxson Hayes,Los Angeles Lakers,C-F,7-0,220,6.8,4.8,1.0,0.6,0.9,https://cdn.nba.com/headshots/nba/latest/1040x760/1629637.png
Maxi Kleber,Los Angeles Lakers,F,6-10,240,3.0,2.8,1.3,0.3,0.5,https://cdn.nba.com/headshots/nba/latest/1040x760/1628467.png
Austin Reaves,Los Angeles Lakers,G,6-5,197,20.2,4.5,5.8,1.1,0.3,https://cdn.nba.com/headshots/nba/latest/1040x760/1630559.png
Dorian Finney-Smith,Los Angeles Lakers,F,6-7,220,10.4,4.6,1.6,0.9,0.6,https://cdn.nba.com/headshots/nba/latest/1040x760/1627827.png
Shake Milton,Los Angeles Lakers,G,6-5,205,7.4,1.9,2.4,0.6,0.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1629003.png
LeBron James,Los Angeles Lakers,F,6-9,250,24.4,7.8,8.2,1.0,0.6,https://cdn.nba.com/headshots/nba/latest/1040x760/2544.png
Alex Len,Los Angeles Lakers,C,7-0,250,1.4,1.8,0.8,0.2,0.5,https://cdn.nba.com/headshots/nba/latest/1040x760/203458.png
Rui Hachimura,Los Angeles Lakers,F,6-8,230,13.1,5.0,1.4,0.8,0.4,https://cdn.nba.com/headshots/nba/latest/1040x760/1629060.png
Jordan Goodwin,Los Angeles Lakers,G,6-5,215,5.6,3.9,1.4,1.0,0.4,https://cdn.nba.com/headshots/nba/latest/1040x760/1630692.png
Trey Jemison III,Los Angeles Lakers,C,6-11,270,2.4,2.8,0.6,0.4,0.4,https://cdn.nba.com/headshots/nba/latest/1040x760/1641998.png
Luka Dončić,Los Angeles Lakers,F-G,6-6,230,28.1,8.3,7.8,2.0,0.4,https://cdn.nba.com/headshots/nba/latest/1040x760/1629029.png
Markieff Morris,Los Angeles Lakers,F,6-9,245,1.7,1.1,0.6,0.1,0.1,https://cdn.nba.com/headshots/nba/latest/1040x760/202693.png
Isaiah Stevens,Miami Heat,G,6-0,185,0.0,0.7,0.0,0.3,0.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1641815.png
Terry Rozier,Miami Heat,G,6-1,190,10.6,3.7,2.6,0.6,0.2,https://cdn.nba.com/headshots/nba/latest/1040x760/1626179.png
Nikola Jović,Miami Heat,F,6-10,205,10.7,3.9,2.8,0.8,0.3,https://cdn.nba.com/headshots/nba/latest/1040x760/1631107.png
Kel'el Ware,Miami Heat,C,7-0,230,9.3,7.4,0.9,0.6,1.1,https://cdn.nba.com/headshots/nba/latest/1040x760/1642276.png
Josh Christopher,Miami Heat,G,6-4,215,2.0,0.6,0.6,0.4,0.2,https://cdn.nba.com/headshots/nba/latest/1040x760/1630528.png
Pelle Larsson,Miami Heat,G,6-5,215,4.6,1.7,1.2,0.6,0.1,https://cdn.nba.com/headshots/nba/latest/1040x760/1641796.png
Jaime Jaquez Jr.,Miami Heat,G,6-6,225,8.6,4.4,2.5,0.9,0.2,https://cdn.nba.com/headshots/nba/latest/1040x760/1631170.png
Dru Smith,Miami Heat,G,6-2,203,6.2,2.6,1.6,1.5,0.4,https://cdn.nba.com/headshots/nba/latest/1040x760/1630696.png
Bam Adebayo,Miami Heat,C-F,6-9,255,18.1,9.6,4.3,1.3,0.7,https://cdn.nba.com/headshots/nba/latest/1040x760/1628389.png
Tyler Herro,Miami Heat,G,6-5,195,23.9,5.2,5.5,0.9,0.2,https://cdn.nba.com/headshots/nba/latest/1040x760/1629639.png
Keshad Johnson,Miami Heat,F,6-7,225,2.7,1.8,0.2,0.3,0.2,https://cdn.nba.com/headshots/nba/latest/1040x760/1642352.png
Alec Burks,Miami Heat,G,6-5,214,7.3,2.5,1.1,0.6,0.1,https://cdn.nba.com/headshots/nba/latest/1040x760/202692.png
Kyle Anderson,Miami Heat,F-G,6-9,230,5.2,3.1,2.2,0.7,0.6,https://cdn.nba.com/headshots/nba/latest/1040x760/203937.png
Andrew Wiggins,Miami Heat,F,6-7,197,17.6,4.6,2.4,0.9,0.8,https://cdn.nba.com/headshots/nba/latest/1040x760/203952.png
Haywood Highsmith,Miami Heat,F,6-5,220,6.5,3.4,1.5,0.9,0.5,https://cdn.nba.com/headshots/nba/latest/1040x760/1629312.png
Kevin Love,Miami Heat,F-C,6-8,251,5.3,4.1,1.0,0.7,0.2,https://cdn.nba.com/headshots/nba/latest/1040x760/201567.png
Davion Mitchell,Miami Heat,G,6-0,202,6.3,1.9,4.6,0.7,0.2,https://cdn.nba.com/headshots/nba/latest/1040x760/1630558.png
Duncan Robinson,Miami Heat,F,6-7,215,11.0,2.3,2.4,0.5,0.1,https://cdn.nba.com/headshots/nba/latest/1040x760/1629130.png
Damian Lillard,Milwaukee Bucks,G,6-2,195,24.9,4.7,7.1,1.2,0.2,https://cdn.nba.com/headshots/nba/latest/1040x760/203081.png
Jericho Sims,Milwaukee Bucks,C,6-10,250,1.6,3.3,0.6,0.2,0.3,https://cdn.nba.com/headshots/nba/latest/1040x760/1630579.png
Kevin Porter Jr.,Milwaukee Bucks,G-F,6-4,203,9.3,3.6,3.2,1.0,0.2,https://cdn.nba.com/headshots/nba/latest/1040x760/1629645.png
Gary Trent Jr.,Milwaukee Bucks,G,6-5,204,11.1,2.3,1.2,1.0,0.1,https://cdn.nba.com/headshots/nba/latest/1040x760/1629018.png
Chris Livingston,Milwaukee Bucks,F,6-6,220,1.4,1.7,0.2,0.2,0.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1641753.png
Bobby Portis,Milwaukee Bucks,F,6-10,250,13.9,8.4,2.1,0.7,0.5,https://cdn.nba.com/headshots/nba/latest/1040x760/1626171.png
Brook Lopez,Milwaukee Bucks,C,7-1,282,13.0,5.0,1.8,0.6,1.8,https://cdn.nba.com/headshots/nba/latest/1040x760/201572.png
Taurean Prince,Milwaukee Bucks,F,6-6,218,8.2,3.6,1.9,1.0,0.2,https://cdn.nba.com/headshots/nba/latest/1040x760/1627752.png
Ryan Rollins,Milwaukee Bucks,G,6-3,180,6.2,1.9,1.9,0.8,0.3,https://cdn.nba.com/headshots/nba/latest/1040x760/1631157.png
Jamaree Bouyea,Milwaukee Bucks,G,6-2,180,3.4,1.0,2.0,0.8,0.4,https://cdn.nba.com/headshots/nba/latest/1040x760/1631123.png
Stanley Umude,Milwaukee Bucks,G,6-6,210,0.7,0.8,0.2,0.1,0.3,https://cdn.nba.com/headshots/nba/latest/1040x760/1630649.png
Kyle Kuzma,Milwaukee Bucks,F,6-9,221,15.2,5.8,2.5,0.6,0.2,https://cdn.nba.com/headshots/nba/latest/1040x760/1628398.png
AJ Green,Milwaukee Bucks,G,6-4,190,7.4,2.4,1.5,0.5,0.1,https://cdn.nba.com/headshots/nba/latest/1040x760/1631260.png
Tyler Smith,Milwaukee Bucks,F,6-9,224,2.9,1.1,0.2,0.1,0.2,https://cdn.nba.com/headshots/nba/latest/1040x760/1641890.png
Pat Connaughton,Milwaukee Bucks,G,6-5,209,5.3,2.7,1.7,0.2,0.3,https://cdn.nba.com/headshots/nba/latest/1040x760/1626192.png
Giannis Antetokounmpo,Milwaukee Bucks,F,6-11,243,30.4,11.9,6.5,0.9,1.2,https://cdn.nba.com/headshots/nba/latest/1040x760/203507.png
Pete Nance,Milwaukee Bucks,F,6-10,225,2.1,1.4,0.4,0.1,0.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1631250.png
Andre Jackson Jr.,Milwaukee Bucks,G,6-6,209,3.4,2.7,1.2,0.5,0.2,https://cdn.nba.com/headshots/nba/latest/1040x760/1641748.png
Donte DiVincenzo,Minnesota Timberwolves,G,6-4,203,11.7,3.7,3.6,1.2,0.3,https://cdn.nba.com/headshots/nba/latest/1040x760/1628978.png
Terrence Shannon Jr.,Minnesota Timberwolves,G-F,6-6,215,4.3,1.5,1.0,0.2,0.2,https://cdn.nba.com/headshots/nba/latest/1040x760/1630545.png
Jaden McDaniels,Minnesota Timberwolves,F,6-9,185,12.2,5.7,2.0,1.3,0.9,https://cdn.nba.com/headshots/nba/latest/1040x760/1630183.png
Rob Dillingham,Minnesota Timberwolves,G,6-3,175,4.5,1.0,2.0,0.4,0.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1642265.png
Anthony Edwards,Minnesota Timberwolves,G,6-4,225,27.6,5.7,4.5,1.2,0.6,https://cdn.nba.com/headshots/nba/latest/1040x760/1630162.png
Joe Ingles,Minnesota Timberwolves,F-G,6-8,220,0.8,0.6,1.2,0.1,0.0,https://cdn.nba.com/headshots/nba/latest/1040x760/204060.png
Josh Minott,Minnesota Timberwolves,F,6-8,205,2.6,1.0,0.4,0.3,0.3,https://cdn.nba.com/headshots/nba/latest/1040x760/1631169.png
Nickeil Alexander-Walker,Minnesota Timberwolves,G,6-5,205,9.4,3.2,2.7,0.6,0.4,https://cdn.nba.com/headshots/nba/latest/1040x760/1629638.png
Mike Conley,Minnesota Timberwolves,G,6-0,175,8.2,2.6,4.5,1.1,0.2,https://cdn.nba.com/headshots/nba/latest/1040x760/201144.png
Naz Reid,Minnesota Timberwolves,C-F,6-9,264,14.2,6.0,2.3,0.7,0.9,https://cdn.nba.com/headshots/nba/latest/1040x760/1629675.png
Tristen Newton,Minnesota Timberwolves,G,6-5,190,0.6,0.0,0.2,0.0,0.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1641803.png
Jesse Edwards,Minnesota Timberwolves,C,7-0,236,0.0,0.0,0.5,0.0,0.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1642399.png
Jaylen Clark,Minnesota Timberwolves,G,6-4,205,4.1,1.3,0.6,0.9,0.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1641740.png
Rudy Gobert,Minnesota Timberwolves,C,7-1,258,12.0,10.9,1.8,0.8,1.4,https://cdn.nba.com/headshots/nba/latest/1040x760/203497.png
Julius Randle,Minnesota Timberwolves,F-C,6-9,250,18.7,7.1,4.7,0.7,0.2,https://cdn.nba.com/headshots/nba/latest/1040x760/203944.png
Leonard Miller,Minnesota Timberwolves,F,6-10,220,1.5,0.8,0.0,0.2,0.1,https://cdn.nba.com/headshots/nba/latest/1040x760/1631159.png
Luka Garza,Minnesota Timberwolves,C,6-10,243,3.5,1.4,0.3,0.2,0.1,https://cdn.nba.com/headshots/nba/latest/1040x760/1630568.png
Bones Hyland,Minnesota Timberwolves,G,6-2,169,7.2,1.2,1.4,0.9,0.2,https://cdn.nba.com/headshots/nba/latest/1040x760/1630538.png
Dariq Whitehead,Brooklyn Nets,G-F,6-6,220,5.7,1.4,0.6,0.3,0.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1641727.png
D'Angelo Russell,Brooklyn Nets,G,6-3,193,12.4,2.8,4.7,0.8,0.1,https://cdn.nba.com/headshots/nba/latest/1040x760/1626156.png
Cameron Johnson,Brooklyn Nets,F,6-8,210,18.8,4.3,3.4,0.9,0.4,https://cdn.nba.com/headshots/nba/latest/1040x760/1629661.png
Reece Beekman,Brooklyn Nets,G,6-3,190,1.0,0.5,0.5,0.5,0.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1641736.png
Ziaire Williams,Brooklyn Nets,F,6-9,185,10.0,4.6,1.3,1.0,0.4,https://cdn.nba.com/headshots/nba/latest/1040x760/1630533.png
Trendon Watford,Brooklyn Nets,G-F,6-8,237,10.2,3.6,2.6,0.6,0.3,https://cdn.nba.com/headshots/nba/latest/1040x760/1630570.png
Tyson Etienne,Brooklyn Nets,G,6-2,200,7.9,1.3,1.7,0.4,0.1,https://cdn.nba.com/headshots/nba/latest/1040x760/1630623.png
Tosan Evbuomwan,Brooklyn Nets,F,6-7,217,9.5,4.3,2.0,0.9,0.4,https://cdn.nba.com/headshots/nba/latest/1040x760/1641787.png
Tyrese Martin,Brooklyn Nets,F,6-6,215,8.7,3.6,2.0,0.6,0.2,https://cdn.nba.com/headshots/nba/latest/1040x760/1631213.png
De'Anthony Melton,Brooklyn Nets,G,6-3,200,10.3,3.3,2.8,1.2,0.3,https://cdn.nba.com/headshots/nba/latest/1040x760/1629001.png
Day'Ron Sharpe,Brooklyn Nets,C,6-9,265,7.9,6.6,1.8,0.8,0.8,https://cdn.nba.com/headshots/nba/latest/1040x760/1630549.png
Noah Clowney,Brooklyn Nets,F-C,6-9,210,9.1,3.9,0.9,0.5,0.5,https://cdn.nba.com/headshots/nba/latest/1040x760/1641730.png
Jalen Wilson,Brooklyn Nets,F,6-6,220,9.5,3.4,1.8,0.5,0.1,https://cdn.nba.com/headshots/nba/latest/1040x760/1630592.png
Cam Thomas,Brooklyn Nets,G,6-3,210,24.0,3.3,3.8,0.6,0.1,https://cdn.nba.com/headshots/nba/latest/1040x760/1630560.png
Drew Timme,Brooklyn Nets,F,6-10,235,12.1,7.2,2.2,0.4,0.1,https://cdn.nba.com/headshots/nba/latest/1040x760/1631166.png
Maxwell Lewis,Brooklyn Nets,F,6-7,215,0.6,0.3,0.3,0.1,0.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1641721.png
Nic Claxton,Brooklyn Nets,C,6-11,215,10.3,7.4,2.2,0.9,1.4,https://cdn.nba.com/headshots/nba/latest/1040x760/1629651.png
Keon Johnson,Brooklyn Nets,G,6-5,185,10.6,3.8,2.2,1.0,0.4,https://cdn.nba.com/headshots/nba/latest/1040x760/1630553.png
P.J. Tucker,New York Knicks,F,6-5,245,3.0,2.7,0.0,0.3,0.3,https://cdn.nba.com/headshots/nba/latest/1040x760/200782.png
Delon Wright,New York Knicks,G,6-5,185,2.5,1.8,1.8,0.9,0.3,https://cdn.nba.com/headshots/nba/latest/1040x760/1626153.png
MarJon Beauchamp,New York Knicks,F,6-7,199,2.0,1.2,0.3,0.1,0.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1630699.png
Cameron Payne,New York Knicks,G,6-3,183,6.9,1.4,2.8,0.5,0.2,https://cdn.nba.com/headshots/nba/latest/1040x760/1626166.png
Miles McBride,New York Knicks,G,6-1,195,9.5,2.5,2.9,1.0,0.3,https://cdn.nba.com/headshots/nba/latest/1040x760/1630540.png
Josh Hart,New York Knicks,G,6-4,215,13.6,9.6,5.9,1.5,0.4,https://cdn.nba.com/headshots/nba/latest/1040x760/1628404.png
Pacôme Dadiet,New York Knicks,F,6-8,210,1.7,1.0,0.3,0.2,0.1,https://cdn.nba.com/headshots/nba/latest/1040x760/1642359.png
Precious Achiuwa,New York Knicks,F,6-8,243,6.6,5.6,1.0,0.8,0.7,https://cdn.nba.com/headshots/nba/latest/1040x760/1630173.png
OG Anunoby,New York Knicks,F-G,6-7,240,18.0,4.8,2.2,1.5,0.9,https://cdn.nba.com/headshots/nba/latest/1040x760/1628384.png
Kevin McCullar Jr.,New York Knicks,G,6-6,210,1.5,2.0,0.5,0.2,0.2,https://cdn.nba.com/headshots/nba/latest/1040x760/1641755.png
Jalen Brunson,New York Knicks,G,6-2,190,26.0,2.9,7.3,0.9,0.1,https://cdn.nba.com/headshots/nba/latest/1040x760/1628973.png
Tyler Kolek,New York Knicks,G,6-3,195,2.0,0.7,1.7,0.3,0.1,https://cdn.nba.com/headshots/nba/latest/1040x760/1642278.png
Mitchell Robinson,New York Knicks,C-F,7-0,240,5.1,5.9,0.8,0.9,1.1,https://cdn.nba.com/headshots/nba/latest/1040x760/1629011.png
Mikal Bridges,New York Knicks,G-F,6-6,209,17.6,3.2,3.7,0.9,0.5,https://cdn.nba.com/headshots/nba/latest/1040x760/1628969.png
Anton Watson,New York Knicks,F,6-8,225,0.9,0.3,0.2,0.1,0.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1641817.png
Karl-Anthony Towns,New York Knicks,C-F,7-0,248,24.4,12.8,3.1,1.0,0.7,https://cdn.nba.com/headshots/nba/latest/1040x760/1626157.png
Landry Shamet,New York Knicks,G,6-4,190,5.7,1.2,0.5,0.5,0.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1629013.png
Ariel Hukporti,New York Knicks,C,6-11,246,1.9,2.0,0.4,0.0,0.6,https://cdn.nba.com/headshots/nba/latest/1040x760/1630574.png
Anthony Black,Orlando Magic,G,6-7,200,9.4,2.9,3.1,1.1,0.6,https://cdn.nba.com/headshots/nba/latest/1040x760/1641710.png
Jonathan Isaac,Orlando Magic,F,6-10,230,5.4,4.4,0.6,0.9,1.1,https://cdn.nba.com/headshots/nba/latest/1040x760/1628371.png
Caleb Houstan,Orlando Magic,G,6-8,205,4.1,1.3,0.6,0.4,0.1,https://cdn.nba.com/headshots/nba/latest/1040x760/1631216.png
Desmond Bane,Orlando Magic,G,6-5,215,19.2,6.1,5.3,1.2,0.4,https://cdn.nba.com/headshots/nba/latest/1040x760/1630217.png
Jalen Suggs,Orlando Magic,G,6-5,205,16.2,4.0,3.7,1.5,0.9,https://cdn.nba.com/headshots/nba/latest/1040x760/1630591.png
Paolo Banchero,Orlando Magic,F,6-10,250,25.9,7.5,4.8,0.8,0.6,https://cdn.nba.com/headshots/nba/latest/1040x760/1631094.png
Mac McClung,Orlando Magic,G,6-2,185,0.0,0.5,1.5,0.0,0.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1630644.png
Cory Joseph,Orlando Magic,G,6-2,200,3.5,1.5,1.4,0.5,0.1,https://cdn.nba.com/headshots/nba/latest/1040x760/202709.png
Trevelin Queen,Orlando Magic,G,6-5,190,4.9,1.7,1.2,1.0,0.3,https://cdn.nba.com/headshots/nba/latest/1040x760/1630243.png
Jett Howard,Orlando Magic,G,6-6,215,0.0,0.0,0.0,0.0,0.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1641724.png
Gary Harris,Orlando Magic,G,6-4,210,0.0,0.0,0.0,0.0,0.0,https://cdn.nba.com/headshots/nba/latest/1040x760/203914.png
Moritz Wagner,Orlando Magic,F-C,6-11,245,0.0,0.0,0.0,0.0,0.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1629021.png
Franz Wagner,Orlando Magic,F,6-10,220,0.0,0.0,0.0,0.0,0.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1630532.png
Tristan da Silva,Orlando Magic,F,6-8,217,0.0,0.0,0.0,0.0,0.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1641783.png
Wendell Carter Jr.,Orlando Magic,C-F,6-10,270,0.0,0.0,0.0,0.0,0.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1628976.png
Goga Bitadze,Orlando Magic,C-F,6-10,250,0.0,0.0,0.0,0.0,0.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1629048.png
Ethan Thompson,Orlando Magic,G,6-5,195,0.0,0.0,0.0,0.0,0.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1630679.png
Tyrese Haliburton,Indiana Pacers,G,6-5,185,18.6,3.5,9.2,1.4,0.7,https://cdn.nba.com/headshots/nba/latest/1040x760/1630169.png
Bennedict Mathurin,Indiana Pacers,G-F,6-5,210,16.1,5.3,1.9,0.7,0.3,https://cdn.nba.com/headshots/nba/latest/1040x760/1631097.png
Obi Toppin,Indiana Pacers,F,6-9,220,10.5,4.0,1.6,0.6,0.4,https://cdn.nba.com/headshots/nba/latest/1040x760/1630167.png
Andrew Nembhard,Indiana Pacers,G-F,6-4,191,10.0,3.3,5.0,1.2,0.2,https://cdn.nba.com/headshots/nba/latest/1040x760/1629614.png
Thomas Bryant,Indiana Pacers,C-F,6-10,248,4.1,3.2,0.4,0.1,0.9,https://cdn.nba.com/headshots/nba/latest/1040x760/1628418.png
Jarace Walker,Indiana Pacers,F,6-7,235,6.1,3.1,1.5,0.7,0.3,https://cdn.nba.com/headshots/nba/latest/1040x760/1641716.png
Enrique Freeman,Indiana Pacers,F,6-7,220,2.1,1.4,0.4,0.1,0.1,https://cdn.nba.com/headshots/nba/latest/1040x760/1642402.png
T.J. McConnell,Indiana Pacers,G,6-1,190,9.1,2.4,4.4,1.1,0.3,https://cdn.nba.com/headshots/nba/latest/1040x760/204456.png
RayJ Dennis,Indiana Pacers,G,6-2,180,2.7,1.1,1.3,0.6,0.2,https://cdn.nba.com/headshots/nba/latest/1040x760/1642484.png
Johnny Furphy,Indiana Pacers,G,6-9,200,2.1,1.4,0.4,0.4,0.2,https://cdn.nba.com/headshots/nba/latest/1040x760/1642277.png
Tony Bradley,Indiana Pacers,C-F,6-11,248,4.4,3.0,0.4,0.1,0.6,https://cdn.nba.com/headshots/nba/latest/1040x760/1628396.png
James Johnson,Indiana Pacers,F,6-7,240,0.7,0.5,0.3,0.0,0.2,https://cdn.nba.com/headshots/nba/latest/1040x760/201949.png
Isaiah Jackson,Indiana Pacers,F,6-9,205,7.0,5.6,1.0,0.6,1.6,https://cdn.nba.com/headshots/nba/latest/1040x760/1630543.png
Aaron Nesmith,Indiana Pacers,G-F,6-6,215,12.0,4.0,1.2,0.8,0.4,https://cdn.nba.com/headshots/nba/latest/1040x760/1630174.png
Ben Sheppard,Indiana Pacers,G,6-6,190,5.3,2.8,1.3,0.6,0.2,https://cdn.nba.com/headshots/nba/latest/1040x760/1641767.png
Quenton Jackson,Indiana Pacers,G,6-5,173,5.8,1.6,1.9,0.8,0.2,https://cdn.nba.com/headshots/nba/latest/1040x760/1631245.png
Myles Turner,Indiana Pacers,C-F,6-11,250,15.6,6.5,1.5,0.8,2.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1626167.png
Pascal Siakam,Indiana Pacers,F,6-8,245,20.2,6.9,3.4,0.9,0.5,https://cdn.nba.com/headshots/nba/latest/1040x760/1627783.png
Tyrese Maxey,Philadelphia 76ers,G,6-2,200,26.3,3.3,6.1,1.8,0.4,https://cdn.nba.com/headshots/nba/latest/1040x760/1630178.png
Andre Drummond,Philadelphia 76ers,C,6-11,279,7.3,7.8,0.8,1.0,0.4,https://cdn.nba.com/headshots/nba/latest/1040x760/203083.png
